filename,status,http,total_ms,grade_ms,enrich_ms,title,issue,year,grade,confidence,price,pricingSource,identityConfident,refusedToPrice,keyIssue,polybagDetected,newsstandEra,issueSource
10356_t.jpg,ok,200,13050,5802,7248,batman,1,,VG 4.0,LOW,,refused-claude-gate,YES,YES,,NO,,
153160_t.jpg,ok,200,19851,10311,9539,Radio Funnies,nn,1940,VG 4.0,LOW,,refused-claude-gate,NO,YES,,NO,,
17320_t.jpg,ok,200,16936,9024,7912,Captain America Comics,1,1941,GD 2.0,LOW,,refused,YES,YES,"1st appearance of Captain America and Bucky, origin of Captain America",NO,,
256_t.jpg,ok,200,13846,5701,8142,action comics,1,,FR 1.0,LOW,,refused-claude-gate,YES,YES,,NO,,
27581_t.jpg,ok,200,20762,7447,13314,Detective Comics,27,1939,GD 2.0,LOW,,refused-claude-gate,YES,YES,First appearance of Batman,NO,,
27585_t.jpg,ok,200,16538,8445,8093,Detective Comics,31,1939,GD 2.0,LOW,,refused-claude-gate,YES,YES,"1st appearance of Julie Madison, 1st Batarang, classic Bob Kane cover",NO,,
3269_t.jpg,ok,200,20457,7956,12499,All-American Comics,16,1940,GD 2.0,LOW,,refused-claude-gate,YES,YES,1st appearance and origin of Green Lantern (Alan Scott),NO,,
56702_t.jpg,ok,200,18024,8960,9062,New Fun,1,1935,GD 2.0,LOW,$23.99,browse_api,YES,NO,First issue of first DC Comics series; first original American comic book,NO,,
63092_t.jpg,ok,200,20369,8251,12118,Marvel Comics,1,1939,GD 2.0,LOW,,refused-claude-gate,YES,YES,"Death of his wife, John decided that the clearing where she was buried would be their new",NO,,
86912_t.jpg,ok,200,15749,5684,10064,superman,1,,GD 2.0,LOW,,refused-claude-gate,YES,YES,,NO,,
download.jpg,ok,200,13178,5931,7246,crow dead time,1,,NM- 9.2,LOW,,refused-claude-gate,NO,YES,Death of Shelly Webster and Eric Draven,NO,,
eyJidWNrZXQiOiJnb2NvbGxlY3QuaW1hZ2VzLnB1YiIsImtleSI6ImU3ODRiNTg1LTFiMWYtNGUwNy05NjJkLTNmNWNjNzg5NGRhNy5qcGciLCJlZGl0cyI6W119.webp,ok,200,14940,9126,5813,Action Comics,33,1941,VG 4.0,LOW,,refused-claude-gate,YES,YES,Classic Golden Age Superman armored car cover,NO,,
s-l1600.jpg,ok,200,36527,7722,28804,fantastic four,1,2018,NM 9.4,LOW,,refused-claude-gate,YES,YES,,NO,,
s-l16000.jpg,ok,200,11176,6042,5132,fantastic four,1,2018,NM 9.4,LOW,,refused-claude-gate,YES,YES,,NO,,
s-l16001.jpg,ok,200,12383,5986,6395,catwoman uncovered,1,,NM 9.4,LOW,,refused-claude-gate,YES,YES,,NO,,
